 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.994969845    
   2.87500000      0.985196888    
   3.12500000      0.969675183    
   3.37500000      0.932739317    
   3.62500000      0.896521986    
   3.87500000      0.851537824    
   4.12500000      0.821069300    
   4.37500000      0.788157523    
   4.62500000      0.751940191    
   4.87500000      0.720753074    
   5.12500000      0.702356994    
   5.37500000      0.677637279    
   5.62500000      0.650043130    
   5.87500000      0.633946538    
   6.12500000      0.618137419    
   6.37500000      0.609945357    
   6.62500000      0.593705058    
   6.87500000      0.585225642    
   7.12500000      0.578614533    
   7.37500000      0.573440671    
   7.62500000      0.568123043    
   7.87500000      0.563955188    
   8.12500000      0.560937047    
   8.37500000      0.555619419    
   8.62500000      0.552313864    
   8.87500000      0.547283709    
   9.12500000      0.541534901    
   9.37500000      0.536073565    
   9.62500000      0.530612230    
   9.87500000      0.527594149    
   10.1250000      0.519977033    
   10.3750000      0.507473409    
   10.6250000      0.502012074    
   10.8750000      0.495688409    
   11.1250000      0.490370810    
   11.3750000      0.485196888    
   11.6250000      0.481460184    
   11.8750000      0.475711405    
   12.1250000      0.470968664    
   12.3750000      0.453003734    
   12.6250000      0.445386618    
   12.8750000      0.441075027    
   13.1250000      0.436475992    
   13.3750000      0.430727214    
   13.6250000      0.423828691    
   13.8750000      0.417936176    
   14.1250000      0.411037654    
   14.3750000      0.406726062    
   14.6250000      0.398821503    
   14.8750000      0.390342057    
   15.1250000      0.383874685    
   15.3750000      0.370508760    
   15.6250000      0.324374825    
   15.8750000      0.320494384    
   16.1250000      0.313452154    
   16.3750000      0.307128489    
   16.6250000      0.291894227    
   16.8750000      0.287007749    
   17.1250000      0.281258970    
   17.3750000      0.275222778    
   17.6250000      0.270192593    
   17.8750000      0.253377408    
   18.1250000      0.241017535    
   18.3750000      0.230957165    
   18.6250000      0.222333997    
   18.8750000      0.215291753    
   19.1250000      0.211986199    
   19.3750000      0.209255531    
   19.6250000      0.204369068    
