 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.995957077    
   2.87500000      0.986755908    
   3.12500000      0.971281171    
   3.37500000      0.935312986    
   3.62500000      0.901296556    
   3.87500000      0.860867143    
   4.12500000      0.833542466    
   4.37500000      0.801756561    
   4.62500000      0.774431884    
   4.87500000      0.747804284    
   5.12500000      0.732468963    
   5.37500000      0.712533116    
   5.62500000      0.689948440    
   5.87500000      0.676146686    
   6.12500000      0.662484288    
   6.37500000      0.655095518    
   6.62500000      0.643245518    
   6.87500000      0.635299027    
   7.12500000      0.627073765    
   7.37500000      0.623588443    
   7.62500000      0.618569613    
   7.87500000      0.614805520    
   8.12500000      0.611877859    
   8.37500000      0.608810842    
   8.62500000      0.604210258    
   8.87500000      0.598494351    
   9.12500000      0.595845520    
   9.37500000      0.594033182    
   9.62500000      0.589293182    
   9.87500000      0.587341428    
   10.1250000      0.584274352    
   10.3750000      0.581346691    
   10.6250000      0.578697920    
   10.8750000      0.575770259    
   11.1250000      0.569496751    
   11.3750000      0.566987336    
   11.6250000      0.564199090    
   11.8750000      0.560295582    
   12.1250000      0.556670845    
   12.3750000      0.545657337    
   12.6250000      0.541335583    
   12.8750000      0.537571430    
   13.1250000      0.532970846    
   13.3750000      0.529764414    
   13.6250000      0.526557922    
   13.8750000      0.524466753    
   14.1250000      0.521957338    
   14.3750000      0.519726753    
   14.6250000      0.515683830    
   14.8750000      0.511083245    
   15.1250000      0.507040262    
   15.3750000      0.502997339    
   15.6250000      0.497560292    
   15.8750000      0.494632661    
   16.1250000      0.490589708    
   16.3750000      0.486965001    
   16.6250000      0.484176785    
   16.8750000      0.481527954    
   17.1250000      0.478460908    
   17.3750000      0.471350908    
   17.6250000      0.468702078    
   17.8750000      0.464380324    
   18.1250000      0.458664447    
   18.3750000      0.454482079    
   18.6250000      0.450160325    
   18.8750000      0.442492694    
   19.1250000      0.423532695    
   19.3750000      0.411125064    
   19.6250000      0.371671557    
