 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000       1.00000000    
   2.87500000      0.999804735    
   3.12500000      0.997266710    
   3.37500000      0.986333489    
   3.62500000      0.975205004    
   3.87500000      0.959000409    
   4.12500000      0.946310043    
   4.37500000      0.926200688    
   4.62500000      0.905310452    
   4.87500000      0.889886737    
   5.12500000      0.878758311    
   5.37500000      0.862748921    
   5.62500000      0.840492010    
   5.87500000      0.826434970    
   6.12500000      0.808473229    
   6.37500000      0.801835239    
   6.62500000      0.786411583    
   6.87500000      0.771378338    
   7.12500000      0.763959408    
   7.37500000      0.755369008    
   7.62500000      0.749707162    
   7.87500000      0.742092907    
   8.12500000      0.737407267    
   8.37500000      0.728816867    
   8.62500000      0.723155022    
   8.87500000      0.714174151    
   9.12500000      0.707926571    
   9.37500000      0.701679051    
   9.62500000      0.693283856    
   9.87500000      0.688598216    
   10.1250000      0.680593491    
   10.3750000      0.661655605    
   10.6250000      0.653260469    
   10.8750000      0.644084334    
   11.1250000      0.636665344    
   11.3750000      0.631784439    
   11.6250000      0.625536919    
   11.8750000      0.616751254    
   12.1250000      0.610308468    
   12.3750000      0.588246763    
   12.6250000      0.580046833    
   12.8750000      0.573213577    
   13.1250000      0.567551732    
   13.3750000      0.559937537    
   13.6250000      0.552909017    
   13.8750000      0.542561471    
   14.1250000      0.536509156    
   14.3750000      0.528504491    
   14.6250000      0.518156946    
   14.8750000      0.508980870    
   15.1250000      0.499609530    
   15.3750000      0.483209670    
   15.6250000      0.428543538    
   15.8750000      0.420734078    
   16.1250000      0.409605622    
   16.3750000      0.402381897    
   16.6250000      0.381491601    
   16.8750000      0.377196401    
   17.1250000      0.367239356    
   17.3750000      0.358648956    
   17.6250000      0.353963286    
   17.8750000      0.332292080    
   18.1250000      0.313939869    
   18.3750000      0.302811414    
   18.6250000      0.291878164    
   18.8750000      0.284263968    
   19.1250000      0.277821153    
   19.3750000      0.272549778    
   19.6250000      0.263959378    
