 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000       1.00000000    
   2.87500000      0.999820352    
   3.12500000      0.998383045    
   3.37500000      0.990837216    
   3.62500000      0.981315136    
   3.87500000      0.967121840    
   4.12500000      0.956342101    
   4.37500000      0.936758876    
   4.62500000      0.918972313    
   4.87500000      0.903162062    
   5.12500000      0.890765369    
   5.37500000      0.874056756    
   5.62500000      0.858426154    
   5.87500000      0.848904073    
   6.12500000      0.836866677    
   6.37500000      0.832195461    
   6.62500000      0.819798768    
   6.87500000      0.809558034    
   7.12500000      0.803629160    
   7.37500000      0.797700346    
   7.62500000      0.791052818    
   7.87500000      0.786201954    
   8.12500000      0.780812085    
   8.37500000      0.775781512    
   8.62500000      0.770750999    
   8.87500000      0.763205171    
   9.12500000      0.757815301    
   9.37500000      0.755120397    
   9.62500000      0.748652518    
   9.87500000      0.745238960    
   10.1250000      0.741286397    
   10.3750000      0.736794829    
   10.6250000      0.732123613    
   10.8750000      0.729069352    
   11.1250000      0.722421825    
   11.3750000      0.719008267    
   11.6250000      0.714157403    
   11.8750000      0.710025132    
   12.1250000      0.705892920    
   12.3750000      0.687567353    
   12.6250000      0.681818187    
   12.8750000      0.676248670    
   13.1250000      0.670140147    
   13.3750000      0.665109575    
   13.6250000      0.661516368    
   13.8750000      0.657384098    
   14.1250000      0.652533233    
   14.3750000      0.647682369    
   14.6250000      0.642831504    
   14.8750000      0.636543274    
   15.1250000      0.631692410    
   15.3750000      0.625763535    
   15.6250000      0.621092319    
   15.8750000      0.616241455    
   16.1250000      0.611929595    
   16.3750000      0.607078671    
   16.6250000      0.602227807    
   16.8750000      0.600610852    
   17.1250000      0.593604028    
   17.3750000      0.584800601    
   17.6250000      0.581207335    
   17.8750000      0.576715767    
   18.1250000      0.569708943    
   18.3750000      0.563959777    
   18.6250000      0.557312250    
   18.8750000      0.546891868    
   19.1250000      0.522457778    
   19.3750000      0.505210221    
   19.6250000      0.452928483    
